* * * * * * * 68 * 70 71 * * 74 * * 77 78 * * 81 * 83 84 * * * 88 89 * * 92 93 * 95 * 97 * * 100 * * * 4 5 6 7 * * * 11 12 * * 15 * 17 18 * * * 22 23 * * * 27 * * * * * 33 34 35 * 37 * 39 * * 42 * * * * * 48 * * 51 52 * * 55 * * * 59 60 
70 * 72 73 * 75 * 77 78 * * 81 * 83 * 85 * 87 88 89 * * * * * 95 * * 98 99 * 1 * 3 * * * 7 * * 10 * * * 14 * 16 * 18 * * * * 23 24 25 26 * * 29 30 * * 33 * 35 36 37 38 * * * * * * * * * 48 * 50 * * * 54 * * * 58 * 60 61 62 63 * * * 67 * * 
* 56 57 58 * * * * 63 * * 66 * 68 69 * 71 * * * * * * 78 * * * 82 83 84 85 * 87 88 * 90 91 * 93 94 95 * * * * * * 2 * * 5 6 7 * * 10 * * * * * 16 17 * * * * * * * * * * * 29 * * * * * 35 36 37 * 39 * * * 43 * * 46 * 48 * * 51 52 * * 
* * * * * * * * 27 * * * * * * 34 35 * * * 39 * 41 * * * * * * * * 50 * * * 54 * 56 * 58 59 * 61 * * * * * 67 * * * * 72 * 74 75 * * * 79 * * 82 * 84 * * * * 89 * 91 92 93 94 95 * * * 99 * * 2 * * 5 * 7 * * 10 * * * 14 15 * * * 
* 67 * 69 * * * * * 75 * * * * * * * * * 85 * * * * * * * * * 95 * * * 99 100 * * 3 * 5 * 7 * * * 11 12 * * * * 17 * * * * * * * 25 * * * * * * * * 34 35 * 37 38 39 * * 42 43 44 * * 47 48 * * * * * 54 * 56 * * * 60 61 * 63 64 * 
* 78 * 80 81 82 * 84 * 86 * * * 90 91 92 * 94 * * 97 * * * * 2 * * * * 7 8 * 10 * * 13 14 * * 17 * * * 21 22 * 24 * * 27 28 29 * * 32 * 34 * 36 * * * 40 41 * * * 45 * * * * 50 51 * 53 * * * 57 58 59 * * 62 * * * * * * * 70 71 72 73 74 * * 
* * * * 25 * 27 * 29 * * 32 33 * * 36 * * 39 * * 42 * * 45 * 47 48 * * * 52 53 * * * 57 * * * 61 * 63 * * 66 * * * * * * * * * * 77 78 * * * 82 * * * * * * * * * * * 94 95 * * 98 * 100 * * * * 5 * * * * * 11 12 * 14 15 16 17 18 * * 
* * 2 * 4 5 6 * 8 9 * 11 * * 14 15 * * * * * * 22 * * * * 27 * 29 30 * 32 * * 35 * 37 * * * 41 42 43 * * * * * * * * * * 54 55 * * * 59 60 * 62 * * * * 67 * * * * * 73 * 75 * * * 79 80 81 82 83 84 85 * * 88 89 90 91 * 93 * 95 * 97 * * 
* * 67 * * * * 72 73 74 * * 77 78 79 * * * 83 84 * * * 88 * * 91 * * * 95 96 97 * * * * 2 3 * * * * 8 9 * * * * * 15 16 * * 19 20 * 22 * 24 * * 27 28 29 * 31 * * * * 36 * * * 40 * 42 43 * * 46 * * 49 50 * 52 * 54 * 56 57 * * * * 62 * 64 
* * 69 70 * * * 74 * * * * * 80 * * * 84 85 * * 88 * * 91 * * * * * * * * * * 2 * * 5 6 * 8 * 10 * 12 * * * * * 18 * * * * * * 25 * * * * * * * * 34 35 * 37 38 39 * * * * 44 45 46 * * 49 50 * * * 54 55 56 * * * 60 * * 63 * * 66 
27 28 * 30 * * * * * 36 37 38 * * 41 42 43 * * * * 48 49 50 51 * * 54 * 56 57 58 * * 61 62 * * 65 * * * * * 71 72 * * 75 * * 78 * * 81 * * * 85 * * * * * * * 93 * 95 96 97 * * * * 2 * 4 5 6 * * 9 * * * * 14 * * * 18 19 20 21 22 * 24 * * 
* * 90 * * 93 * * 96 97 * 99 100 * * 3 4 * 6 * * * * * * * 14 15 * * 18 19 * * 22 * * * * 27 * 29 30 31 32 * 34 35 36 * * * 40 41 * 43 * * * 47 * * 50 * 52 53 54 55 * * * * 60 * * * * * * 67 68 69 70 * * 73 * * 76 * * 79 80 81 82 83 84 85 86 * 
* * * * * * * * 71 * * * 75 76 * 78 79 * * * 83 * * 86 * * 89 90 * * 93 94 95 * * 98 * 100 1 2 * * * * * * 9 10 * * 13 14 * 16 * * * 20 * * * * * 26 * * * * * * 33 34 * * 37 * * * * 42 43 44 45 * * * * * 51 * * * * * * 58 * * 61 62 
* * * 45 * * 48 * * * 52 * 54 * * * * * 60 61 62 63 * * * * * * 70 * * * * 75 * 77 * * * * * * 84 85 86 * 88 * * 91 * * * * * 97 * * 100 * 2 3 * * 6 * 8 9 * 11 * 13 14 * * * * * * * 22 * * * * * 28 * * 31 32 * 34 35 * * * * 40 * 
* * 11 * * * 15 * * * 19 20 21 * * * 25 * * * * * 31 * * 34 * 36 * 38 * * 41 42 * * 45 46 47 * * * 51 * 53 * * * 57 * 59 * 61 62 63 * 65 * * * 69 70 * * * 74 * 76 77 * * * 81 * * * * * * * * 90 * 92 * 94 * 96 97 * 99 * 1 * * 4 5 * * * 
* * * * 7 * * * 11 * * * 15 16 17 * * * * * * * * * * * * * * * * * * * * 38 * * * * * 44 * 46 * 48 49 * * * * * 55 56 * * 59 60 * * * * * * * * 69 * * * * * 75 * * 78 * 80 81 82 83 84 85 * * 88 * * * 92 * 94 95 96 * * 99 * 1 * 
